candidat_id,nom_prenom,metier_principal,statut,experience_annees
CAND-1000,Candidat 1,Analytics Engineer,En mission,2
CAND-1001,Candidat 2,Chef de Projet IA,En entretien,2
CAND-1002,Candidat 3,Ingénieur Qualité,En mission,10
CAND-1003,Candidat 4,Consultant BI as Code,En mission,14
CAND-1004,Candidat 5,Chef de Projet IA,En entretien,12
CAND-1005,Candidat 6,Analytics Engineer,Disponible,9
CAND-1006,Candidat 7,Consultant BI as Code,En mission,11
CAND-1007,Candidat 8,Chef de Projet IA,Disponible,10
CAND-1008,Candidat 9,Ingénieur Qualité,En mission,8
CAND-1009,Candidat 10,Chef de Projet IA,En mission,4
CAND-1010,Candidat 11,Ingénieur Qualité,En mission,4
CAND-1011,Candidat 12,Analytics Engineer,En mission,3
CAND-1012,Candidat 13,Ingénieur Qualité,En mission,6
CAND-1013,Candidat 14,Consultant BI as Code,En mission,13
CAND-1014,Candidat 15,Analytics Engineer,En entretien,13
CAND-1015,Candidat 16,Consultant BI as Code,En entretien,4
CAND-1016,Candidat 17,Consultant PowerBI / Tableau,Disponible,15
CAND-1017,Candidat 18,Data Engineer,En mission,7
CAND-1018,Candidat 19,Ingénieur Qualité,En mission,3
CAND-1019,Candidat 20,Data Engineer,Disponible,13
CAND-1020,Candidat 21,Data Engineer,Disponible,4
CAND-1021,Candidat 22,Ingénieur Qualité,En mission,6
CAND-1022,Candidat 23,Analytics Engineer,En entretien,13
CAND-1023,Candidat 24,Consultant PowerBI / Tableau,Disponible,12
CAND-1024,Candidat 25,Consultant BI as Code,En entretien,12
CAND-1025,Candidat 26,Chef de Projet IA,Disponible,2
CAND-1026,Candidat 27,Consultant BI as Code,Disponible,14
CAND-1027,Candidat 28,Chef de Projet IA,En mission,2
CAND-1028,Candidat 29,Consultant BI as Code,En entretien,11
CAND-1029,Candidat 30,Ingénieur Qualité,Disponible,10
CAND-1030,Candidat 31,Consultant PowerBI / Tableau,En mission,8
CAND-1031,Candidat 32,Chef de Projet IA,En mission,2
CAND-1032,Candidat 33,Directeur Transition,En mission,16
CAND-1033,Candidat 34,Analytics Engineer,Disponible,13
CAND-1034,Candidat 35,Consultant BI as Code,En entretien,15
CAND-1035,Candidat 36,Consultant BI as Code,En mission,17
CAND-1036,Candidat 37,Chef de Projet IA,En mission,9
CAND-1037,Candidat 38,Analytics Engineer,En mission,4
CAND-1038,Candidat 39,Analytics Engineer,En entretien,9
CAND-1039,Candidat 40,Ingénieur Qualité,Disponible,16
CAND-1040,Candidat 41,Directeur Transition,Disponible,6
CAND-1041,Candidat 42,Ingénieur Qualité,En mission,2
CAND-1042,Candidat 43,Ingénieur Qualité,En mission,8
CAND-1043,Candidat 44,Ingénieur Qualité,En mission,6
CAND-1044,Candidat 45,Ingénieur Qualité,En mission,7
CAND-1045,Candidat 46,Ingénieur Qualité,Disponible,17
CAND-1046,Candidat 47,Consultant PowerBI / Tableau,Disponible,7
CAND-1047,Candidat 48,Analytics Engineer,En entretien,9
CAND-1048,Candidat 49,Ingénieur Qualité,En entretien,10
CAND-1049,Candidat 50,Analytics Engineer,En mission,3
CAND-1050,Candidat 51,Analytics Engineer,Disponible,10
CAND-1051,Candidat 52,Data Engineer,En entretien,13
CAND-1052,Candidat 53,Consultant PowerBI / Tableau,Disponible,16
CAND-1053,Candidat 54,Ingénieur Qualité,En mission,12
CAND-1054,Candidat 55,Consultant BI as Code,En mission,11
CAND-1055,Candidat 56,Chef de Projet IA,En mission,10
CAND-1056,Candidat 57,Directeur Transition,En entretien,14
CAND-1057,Candidat 58,Consultant BI as Code,Disponible,11
CAND-1058,Candidat 59,Consultant PowerBI / Tableau,En mission,16
CAND-1059,Candidat 60,Chef de Projet IA,Disponible,17
CAND-1060,Candidat 61,Consultant PowerBI / Tableau,Disponible,11
CAND-1061,Candidat 62,Analytics Engineer,En mission,17
CAND-1062,Candidat 63,Chef de Projet IA,En mission,8
CAND-1063,Candidat 64,Analytics Engineer,Disponible,2
CAND-1064,Candidat 65,Consultant BI as Code,En mission,8
CAND-1065,Candidat 66,Consultant BI as Code,Disponible,11
CAND-1066,Candidat 67,Chef de Projet IA,En mission,6
CAND-1067,Candidat 68,Chef de Projet IA,Disponible,7
CAND-1068,Candidat 69,Ingénieur Qualité,En mission,11
CAND-1069,Candidat 70,Consultant PowerBI / Tableau,En mission,8
CAND-1070,Candidat 71,Ingénieur Qualité,Disponible,15
CAND-1071,Candidat 72,Consultant PowerBI / Tableau,En mission,16
CAND-1072,Candidat 73,Ingénieur Qualité,En mission,6
CAND-1073,Candidat 74,Analytics Engineer,En mission,8
CAND-1074,Candidat 75,Chef de Projet IA,Disponible,10
CAND-1075,Candidat 76,Consultant BI as Code,Disponible,4
CAND-1076,Candidat 77,Consultant PowerBI / Tableau,Disponible,17
CAND-1077,Candidat 78,Consultant PowerBI / Tableau,En mission,9
CAND-1078,Candidat 79,Consultant BI as Code,En mission,3
CAND-1079,Candidat 80,Ingénieur Qualité,En mission,12
CAND-1080,Candidat 81,Consultant PowerBI / Tableau,En mission,8
CAND-1081,Candidat 82,Directeur Transition,En mission,14
CAND-1082,Candidat 83,Analytics Engineer,En mission,3
CAND-1083,Candidat 84,Chef de Projet IA,En mission,16
CAND-1084,Candidat 85,Consultant BI as Code,En entretien,15
CAND-1085,Candidat 86,Chef de Projet IA,En mission,5
CAND-1086,Candidat 87,Directeur Transition,En mission,8
CAND-1087,Candidat 88,Consultant PowerBI / Tableau,Disponible,4
CAND-1088,Candidat 89,Consultant PowerBI / Tableau,En mission,3
CAND-1089,Candidat 90,Directeur Transition,Disponible,12
CAND-1090,Candidat 91,Consultant BI as Code,Disponible,11
CAND-1091,Candidat 92,Analytics Engineer,En entretien,8
CAND-1092,Candidat 93,Data Engineer,En mission,2
CAND-1093,Candidat 94,Consultant BI as Code,En entretien,15
CAND-1094,Candidat 95,Data Engineer,En mission,16
CAND-1095,Candidat 96,Directeur Transition,En mission,9
CAND-1096,Candidat 97,Ingénieur Qualité,En mission,4
CAND-1097,Candidat 98,Data Engineer,En entretien,13
CAND-1098,Candidat 99,Analytics Engineer,En mission,13
CAND-1099,Candidat 100,Ingénieur Qualité,En mission,14
CAND-1100,Candidat 101,Data Engineer,Disponible,3
CAND-1101,Candidat 102,Directeur Transition,En mission,4
CAND-1102,Candidat 103,Ingénieur Qualité,En mission,6
CAND-1103,Candidat 104,Directeur Transition,En mission,12
CAND-1104,Candidat 105,Data Engineer,En mission,9
CAND-1105,Candidat 106,Directeur Transition,En mission,11
CAND-1106,Candidat 107,Analytics Engineer,En mission,8
CAND-1107,Candidat 108,Data Engineer,Disponible,8
CAND-1108,Candidat 109,Data Engineer,En mission,13
CAND-1109,Candidat 110,Data Engineer,En mission,8
CAND-1110,Candidat 111,Consultant BI as Code,Disponible,16
CAND-1111,Candidat 112,Consultant BI as Code,En mission,9
CAND-1112,Candidat 113,Consultant BI as Code,Disponible,2
CAND-1113,Candidat 114,Analytics Engineer,En mission,5
CAND-1114,Candidat 115,Ingénieur Qualité,En mission,14
CAND-1115,Candidat 116,Directeur Transition,En mission,7
CAND-1116,Candidat 117,Consultant PowerBI / Tableau,En mission,10
CAND-1117,Candidat 118,Data Engineer,En mission,14
CAND-1118,Candidat 119,Directeur Transition,En mission,3
CAND-1119,Candidat 120,Data Engineer,En mission,2
CAND-1120,Candidat 121,Analytics Engineer,En mission,17
CAND-1121,Candidat 122,Data Engineer,En mission,14
CAND-1122,Candidat 123,Consultant BI as Code,En mission,11
CAND-1123,Candidat 124,Consultant PowerBI / Tableau,En mission,13
CAND-1124,Candidat 125,Chef de Projet IA,En mission,15
CAND-1125,Candidat 126,Data Engineer,Disponible,3
CAND-1126,Candidat 127,Directeur Transition,En mission,8
CAND-1127,Candidat 128,Consultant BI as Code,Disponible,4
CAND-1128,Candidat 129,Chef de Projet IA,Disponible,11
CAND-1129,Candidat 130,Consultant PowerBI / Tableau,En mission,3
CAND-1130,Candidat 131,Chef de Projet IA,Disponible,15
CAND-1131,Candidat 132,Consultant BI as Code,En entretien,12
CAND-1132,Candidat 133,Ingénieur Qualité,En mission,8
CAND-1133,Candidat 134,Ingénieur Qualité,En mission,14
CAND-1134,Candidat 135,Chef de Projet IA,Disponible,14
CAND-1135,Candidat 136,Analytics Engineer,Disponible,3
CAND-1136,Candidat 137,Directeur Transition,En mission,17
CAND-1137,Candidat 138,Directeur Transition,En mission,17
CAND-1138,Candidat 139,Chef de Projet IA,En mission,4
CAND-1139,Candidat 140,Data Engineer,En mission,12
CAND-1140,Candidat 141,Data Engineer,Disponible,8
CAND-1141,Candidat 142,Directeur Transition,En mission,15
CAND-1142,Candidat 143,Directeur Transition,En mission,5
CAND-1143,Candidat 144,Ingénieur Qualité,Disponible,14
CAND-1144,Candidat 145,Analytics Engineer,En mission,15
CAND-1145,Candidat 146,Consultant BI as Code,En mission,2
CAND-1146,Candidat 147,Data Engineer,Disponible,14
CAND-1147,Candidat 148,Directeur Transition,Disponible,15
CAND-1148,Candidat 149,Ingénieur Qualité,En mission,6
CAND-1149,Candidat 150,Consultant PowerBI / Tableau,En mission,13
CAND-1150,Candidat 151,Ingénieur Qualité,En mission,10
CAND-1151,Candidat 152,Data Engineer,En mission,17
CAND-1152,Candidat 153,Data Engineer,En mission,9
CAND-1153,Candidat 154,Ingénieur Qualité,En mission,13
CAND-1154,Candidat 155,Consultant BI as Code,En mission,16
CAND-1155,Candidat 156,Chef de Projet IA,En mission,10
CAND-1156,Candidat 157,Data Engineer,En mission,11
CAND-1157,Candidat 158,Ingénieur Qualité,En mission,15
CAND-1158,Candidat 159,Directeur Transition,En mission,10
CAND-1159,Candidat 160,Ingénieur Qualité,En mission,16
CAND-1160,Candidat 161,Analytics Engineer,En mission,8
CAND-1161,Candidat 162,Chef de Projet IA,Disponible,5
CAND-1162,Candidat 163,Consultant PowerBI / Tableau,En mission,6
CAND-1163,Candidat 164,Consultant BI as Code,Disponible,2
CAND-1164,Candidat 165,Consultant PowerBI / Tableau,Disponible,15
CAND-1165,Candidat 166,Chef de Projet IA,En mission,2
CAND-1166,Candidat 167,Chef de Projet IA,En mission,4
CAND-1167,Candidat 168,Chef de Projet IA,En mission,14
CAND-1168,Candidat 169,Consultant PowerBI / Tableau,En mission,15
CAND-1169,Candidat 170,Directeur Transition,Disponible,9
CAND-1170,Candidat 171,Chef de Projet IA,En mission,15
CAND-1171,Candidat 172,Ingénieur Qualité,En mission,3
CAND-1172,Candidat 173,Consultant PowerBI / Tableau,En mission,5
CAND-1173,Candidat 174,Chef de Projet IA,En mission,3
CAND-1174,Candidat 175,Ingénieur Qualité,Disponible,15
CAND-1175,Candidat 176,Directeur Transition,En mission,6
CAND-1176,Candidat 177,Analytics Engineer,En mission,10
CAND-1177,Candidat 178,Directeur Transition,En entretien,17
CAND-1178,Candidat 179,Chef de Projet IA,Disponible,2
CAND-1179,Candidat 180,Consultant PowerBI / Tableau,En mission,6
CAND-1180,Candidat 181,Data Engineer,En mission,15
CAND-1181,Candidat 182,Chef de Projet IA,En mission,16
CAND-1182,Candidat 183,Data Engineer,En mission,10
CAND-1183,Candidat 184,Ingénieur Qualité,En mission,16
CAND-1184,Candidat 185,Analytics Engineer,En mission,2
CAND-1185,Candidat 186,Consultant BI as Code,En mission,10
CAND-1186,Candidat 187,Directeur Transition,En mission,9
CAND-1187,Candidat 188,Analytics Engineer,Disponible,5
CAND-1188,Candidat 189,Chef de Projet IA,En mission,13
CAND-1189,Candidat 190,Data Engineer,En mission,12
CAND-1190,Candidat 191,Directeur Transition,En mission,11
CAND-1191,Candidat 192,Data Engineer,En entretien,6
CAND-1192,Candidat 193,Consultant PowerBI / Tableau,En mission,14
CAND-1193,Candidat 194,Data Engineer,En mission,6
CAND-1194,Candidat 195,Consultant PowerBI / Tableau,En entretien,12
CAND-1195,Candidat 196,Ingénieur Qualité,Disponible,13
CAND-1196,Candidat 197,Directeur Transition,Disponible,7
CAND-1197,Candidat 198,Directeur Transition,En mission,8
CAND-1198,Candidat 199,Consultant BI as Code,En mission,9
CAND-1199,Candidat 200,Chef de Projet IA,Disponible,16
CAND-1200,Candidat 201,Consultant PowerBI / Tableau,En entretien,15
CAND-1201,Candidat 202,Consultant BI as Code,En mission,9
CAND-1202,Candidat 203,Data Engineer,En mission,12
CAND-1203,Candidat 204,Data Engineer,En mission,15
CAND-1204,Candidat 205,Consultant BI as Code,Disponible,14
CAND-1205,Candidat 206,Directeur Transition,En mission,3
CAND-1206,Candidat 207,Data Engineer,En mission,10
CAND-1207,Candidat 208,Ingénieur Qualité,En mission,8
CAND-1208,Candidat 209,Ingénieur Qualité,En mission,5
CAND-1209,Candidat 210,Consultant BI as Code,En mission,5
CAND-1210,Candidat 211,Consultant PowerBI / Tableau,En mission,12
CAND-1211,Candidat 212,Consultant PowerBI / Tableau,Disponible,9
CAND-1212,Candidat 213,Consultant BI as Code,En mission,5
CAND-1213,Candidat 214,Consultant PowerBI / Tableau,En mission,14
CAND-1214,Candidat 215,Directeur Transition,En mission,16
CAND-1215,Candidat 216,Directeur Transition,En mission,7
CAND-1216,Candidat 217,Consultant PowerBI / Tableau,En mission,6
CAND-1217,Candidat 218,Ingénieur Qualité,En mission,4
CAND-1218,Candidat 219,Consultant PowerBI / Tableau,En mission,14
CAND-1219,Candidat 220,Directeur Transition,En mission,15
CAND-1220,Candidat 221,Analytics Engineer,En mission,11
CAND-1221,Candidat 222,Chef de Projet IA,En entretien,12
CAND-1222,Candidat 223,Data Engineer,En mission,3
CAND-1223,Candidat 224,Analytics Engineer,Disponible,10
CAND-1224,Candidat 225,Consultant PowerBI / Tableau,En mission,11
CAND-1225,Candidat 226,Ingénieur Qualité,Disponible,10
CAND-1226,Candidat 227,Consultant BI as Code,Disponible,2
CAND-1227,Candidat 228,Consultant PowerBI / Tableau,En mission,11
CAND-1228,Candidat 229,Ingénieur Qualité,En mission,4
CAND-1229,Candidat 230,Chef de Projet IA,En mission,9
CAND-1230,Candidat 231,Consultant PowerBI / Tableau,En mission,7
CAND-1231,Candidat 232,Directeur Transition,En entretien,6
CAND-1232,Candidat 233,Consultant BI as Code,Disponible,6
CAND-1233,Candidat 234,Ingénieur Qualité,En entretien,7
CAND-1234,Candidat 235,Ingénieur Qualité,En mission,16
CAND-1235,Candidat 236,Ingénieur Qualité,Disponible,8
CAND-1236,Candidat 237,Chef de Projet IA,En entretien,2
CAND-1237,Candidat 238,Consultant PowerBI / Tableau,En mission,10
