opportunity_id,agence_id,nom_compte_prospect,date_creation,etape_pipeline,valeur_estimee_ca,probabilite_pct
OPP-1000,AG-02,Prospect Industrie-1,2025-08-18,Proposition Envoyée,30000.0,25
OPP-1001,AG-09,Prospect Industrie-2,2026-06-16,Négociation,30000.0,25
OPP-1002,AG-01,Prospect Services-3,2024-11-26,Lead Qualifié,30000.0,50
OPP-1003,AG-01,Prospect Services-4,2024-09-30,Proposition Envoyée,15000.0,50
OPP-1004,AG-13,Prospect Industrie-5,2025-11-26,Négociation,30000.0,50
OPP-1005,AG-14,Prospect Services-6,2026-07-27,Perdue,30000.0,0
OPP-1006,AG-14,Prospect Services-7,2026-06-19,Gagnée (Signée),15000.0,100
OPP-1007,AG-18,Prospect Services-8,2025-06-24,Lead Qualifié,150000.0,25
OPP-1008,AG-02,Prospect Tech-9,2024-09-21,Proposition Envoyée,15000.0,75
OPP-1009,AG-15,Prospect Tech-10,2025-11-07,Proposition Envoyée,150000.0,50
OPP-1010,AG-22,Prospect Tech-11,2024-01-02,Gagnée (Signée),75000.0,100
OPP-1011,AG-22,Prospect Tech-12,2025-11-20,Lead Qualifié,75000.0,50
OPP-1012,AG-08,Prospect Tech-13,2024-04-04,Lead Qualifié,30000.0,50
OPP-1013,AG-09,Prospect Industrie-14,2024-04-30,Lead Qualifié,75000.0,75
OPP-1014,AG-04,Prospect Industrie-15,2024-12-05,Négociation,30000.0,75
OPP-1015,AG-03,Prospect Services-16,2026-01-22,Proposition Envoyée,30000.0,50
OPP-1016,AG-19,Prospect Tech-17,2026-01-31,Proposition Envoyée,150000.0,50
OPP-1017,AG-03,Prospect Tech-18,2024-01-01,Lead Qualifié,30000.0,50
OPP-1018,AG-04,Prospect Tech-19,2025-02-27,Gagnée (Signée),15000.0,100
OPP-1019,AG-04,Prospect Tech-20,2026-02-01,Lead Qualifié,15000.0,75
OPP-1020,AG-13,Prospect Tech-21,2024-04-01,Perdue,30000.0,0
OPP-1021,AG-17,Prospect Industrie-22,2025-12-16,Proposition Envoyée,75000.0,25
OPP-1022,AG-08,Prospect Industrie-23,2026-02-06,Gagnée (Signée),75000.0,100
OPP-1023,AG-18,Prospect Services-24,2025-09-16,Négociation,150000.0,25
OPP-1024,AG-08,Prospect Tech-25,2025-06-01,Gagnée (Signée),15000.0,100
