facture_id,mission_id,client_id,agence_id,date_facture,date_echeance,dso_effectif_jours,montant_ht,montant_tva,statut_paiement
FAC-2026-1000,MISS-10244,CLI-127,AG-06,2024-11-17,2025-01-01,60,78973.26,15794.65,Payée
FAC-2026-1001,MISS-11830,CLI-108,AG-05,2024-08-13,2024-09-27,45,1952.08,390.42,En cours
FAC-2026-1002,MISS-13223,CLI-105,AG-22,2024-05-25,2024-07-09,30,20330.81,4066.16,Payée
FAC-2026-1003,MISS-10251,CLI-148,AG-10,2024-09-16,2024-10-31,30,3418.68,683.74,Payée
FAC-2026-1004,MISS-10196,CLI-174,AG-20,2025-08-17,2025-10-01,60,6295.36,1259.07,Payée
FAC-2026-1005,MISS-12900,CLI-123,AG-10,2025-10-16,2025-11-30,120,20091.4,4018.28,En retard (Litige)
FAC-2026-1006,MISS-11169,CLI-102,AG-04,2025-07-16,2025-08-30,120,1526.56,305.31,Payée
FAC-2026-1007,MISS-10824,CLI-142,AG-05,2026-08-30,2026-10-14,30,6728.57,1345.71,Payée
FAC-2026-1008,MISS-12138,CLI-165,AG-13,2025-10-23,2025-12-07,45,1729.78,345.96,Payée
FAC-2026-1009,MISS-11584,CLI-140,AG-08,2025-01-14,2025-02-28,30,4566.52,913.3,Payée
FAC-2026-1010,MISS-13132,CLI-153,AG-05,2024-11-30,2025-01-14,30,6057.4,1211.48,Payée
FAC-2026-1011,MISS-10144,CLI-144,AG-04,2024-04-24,2024-06-08,30,28169.52,5633.9,En retard (Litige)
FAC-2026-1012,MISS-12481,CLI-111,AG-16,2024-06-17,2024-08-01,45,40983.0,8196.6,En cours
FAC-2026-1013,MISS-11457,CLI-139,AG-08,2025-11-01,2025-12-16,30,1648.96,329.79,Payée
FAC-2026-1014,MISS-12100,CLI-155,AG-22,2025-08-03,2025-09-17,30,65400.66,13080.13,En retard (Litige)
FAC-2026-1015,MISS-12514,CLI-110,AG-10,2025-04-07,2025-05-22,90,23638.06,4727.61,Payée
FAC-2026-1016,MISS-12232,CLI-100,AG-14,2026-05-15,2026-06-29,30,4951.9,990.38,Payée
FAC-2026-1017,MISS-10197,CLI-138,AG-10,2025-02-15,2025-04-01,60,22989.52,4597.9,Payée
FAC-2026-1018,MISS-12769,CLI-133,AG-04,2024-05-01,2024-06-15,30,65375.14,13075.03,En cours
FAC-2026-1019,MISS-12941,CLI-146,AG-08,2025-12-10,2026-01-24,45,7070.94,1414.19,Payée
FAC-2026-1020,MISS-11427,CLI-105,AG-22,2024-11-12,2024-12-27,45,66855.38,13371.08,Payée
FAC-2026-1021,MISS-11608,CLI-168,AG-12,2025-04-19,2025-06-03,30,70766.53,14153.31,En cours
FAC-2026-1022,MISS-11838,CLI-147,AG-09,2024-11-30,2025-01-14,45,1272.58,254.52,En retard (Litige)
FAC-2026-1023,MISS-12470,CLI-145,AG-06,2025-04-16,2025-05-31,30,2370.43,474.08,En cours
FAC-2026-1024,MISS-10825,CLI-154,AG-02,2025-01-07,2025-02-21,60,3843.52,768.7,Payée
FAC-2026-1025,MISS-12017,CLI-132,AG-10,2024-02-20,2024-04-05,30,3288.42,657.68,Payée
FAC-2026-1026,MISS-13152,CLI-173,AG-13,2024-04-23,2024-06-07,45,6418.35,1283.67,Payée
FAC-2026-1027,MISS-10520,CLI-105,AG-18,2024-09-08,2024-10-23,30,7634.12,1526.82,En cours
FAC-2026-1028,MISS-11608,CLI-168,AG-12,2025-04-19,2025-06-03,45,70766.53,14153.31,En cours
FAC-2026-1029,MISS-11513,CLI-169,AG-04,2026-08-12,2026-09-26,45,23209.84,4641.97,Payée
