mission_id,agence_id,client_id,candidat_id,type_contrat,statut_mission,date_debut,date_fin,heures_travaillees,taux_horaire_paye,taux_horaire_facture,coeff_facturation,chiffre_affaires,cout_salarial,marge_brute
MISS-10000,AG-11,CLI-104,CAND-1379,Intérim IA/Data,En cours,2024-03-24,2024-05-23,420,34.01,68.51,2.014,28773.81,14284.45,14489.36
MISS-10001,AG-11,CLI-122,CAND-1274,Intérim IA/Data,Terminée,2025-08-10,2025-08-15,35,53.06,107.84,2.032,3774.26,1857.19,1917.07
MISS-10002,AG-21,CLI-157,CAND-1053,Intérim IA/Data,En cours,2025-02-10,2025-03-02,140,53.01,101.9,1.922,14265.56,7421.04,6844.52
MISS-10003,AG-02,CLI-138,CAND-1179,Recrutement CDI,Terminée,2025-11-21,2025-11-26,35,38.6,71.74,1.859,2510.9,1351.01,1159.88
MISS-10004,AG-15,CLI-129,CAND-1437,Intérim IA/Data,Terminée,2026-01-03,2026-07-02,1260,52.82,95.9,1.816,120840.15,66550.28,54289.87
MISS-10005,AG-22,CLI-160,CAND-1121,Intérim IA/Data,En cours,2025-08-07,2025-11-05,630,65.26,130.18,1.995,82014.65,41112.23,40902.42
MISS-10006,AG-11,CLI-151,CAND-1474,Intérim IA/Data,Terminée,2025-09-01,2025-09-21,140,61.02,112.17,1.838,15704.04,8542.66,7161.39
MISS-10007,AG-02,CLI-159,CAND-1406,Intérim IA/Data,Terminée,2024-07-09,2024-07-14,35,59.11,116.37,1.969,4072.87,2068.77,2004.1
MISS-10008,AG-15,CLI-155,CAND-1038,Intérim IA/Data,Terminée,2026-02-12,2026-02-22,70,60.0,118.09,1.968,8266.49,4200.06,4066.43
MISS-10009,AG-09,CLI-174,CAND-1366,Intérim IA/Data,Terminée,2026-03-24,2026-06-22,630,46.19,91.93,1.991,57918.12,29096.8,28821.31
MISS-10010,AG-19,CLI-125,CAND-1191,Intérim IA/Data,En cours,2025-12-17,2026-06-15,1260,51.61,99.09,1.92,124854.6,65026.41,59828.19
MISS-10011,AG-13,CLI-162,CAND-1178,Intérim IA/Data,Terminée,2026-06-13,2026-07-03,140,53.59,106.37,1.985,14891.23,7502.8,7388.42
