bulletin_id,candidat_id,mission_id,date_paie,heures_indemnisees,salaire_brut_base,ifm_montant,cp_montant,total_brut,charges_patronales,cout_total_employeur
PAY-2026-1000,CAND-1480,MISS-13133,2024-09-11,17.5,1052.33,105.23,115.76,1273.32,534.79,1808.11
PAY-2026-1001,CAND-1093,MISS-11531,2026-08-09,70.0,3291.66,329.17,362.08,3982.91,1672.82,5655.73
PAY-2026-1002,CAND-1085,MISS-12457,2024-02-24,35.0,1181.0,118.1,129.91,1429.01,600.18,2029.19
PAY-2026-1003,CAND-1190,MISS-10914,2026-08-02,70.0,4056.8,405.68,446.25,4908.73,2061.67,6970.4
PAY-2026-1004,CAND-1431,MISS-11059,2024-05-15,17.5,595.26,59.53,65.48,720.27,302.51,1022.78
PAY-2026-1005,CAND-1467,MISS-11054,2024-12-13,315.0,12964.4,1296.44,1426.08,15686.93,6588.51,22275.44
PAY-2026-1006,CAND-1199,MISS-10549,2024-07-28,17.5,689.74,68.97,75.87,834.59,350.53,1185.11
PAY-2026-1007,CAND-1036,MISS-13357,2024-07-07,315.0,21395.54,2139.55,2353.51,25888.6,10873.21,36761.81
PAY-2026-1008,CAND-1442,MISS-10842,2024-07-15,70.0,2375.23,237.52,261.28,2874.03,1207.09,4081.12
PAY-2026-1009,CAND-1100,MISS-10143,2024-05-03,630.0,27585.81,2758.58,3034.44,33378.83,14019.11,47397.94
PAY-2026-1010,CAND-1109,MISS-10957,2024-08-14,210.0,14071.94,1407.19,1547.91,17027.05,7151.36,24178.41
PAY-2026-1011,CAND-1163,MISS-10389,2024-04-14,35.0,1113.74,111.37,122.51,1347.63,566.0,1913.63
PAY-2026-1012,CAND-1189,MISS-11907,2026-03-09,210.0,6982.3,698.23,768.05,8448.58,3548.4,11996.98
PAY-2026-1013,CAND-1065,MISS-11131,2026-02-15,35.0,2206.52,220.65,242.72,2669.9,1121.36,3791.25
PAY-2026-1014,CAND-1282,MISS-11935,2026-02-06,630.0,29785.3,2978.53,3276.38,36040.21,15136.89,51177.1
PAY-2026-1015,CAND-1180,MISS-10324,2026-01-20,70.0,3950.16,395.02,434.52,4779.69,2007.47,6787.16
PAY-2026-1016,CAND-1151,MISS-11567,2025-04-05,35.0,2290.16,229.02,251.92,2771.09,1163.86,3934.94
PAY-2026-1017,CAND-1453,MISS-12752,2024-10-17,35.0,1604.86,160.49,176.54,1941.89,815.59,2757.48
PAY-2026-1018,CAND-1418,MISS-12953,2026-07-21,35.0,1866.24,186.62,205.29,2258.14,948.42,3206.56
PAY-2026-1019,CAND-1220,MISS-11570,2024-03-13,17.5,1005.42,100.54,110.6,1216.56,510.95,1727.51
PAY-2026-1020,CAND-1152,MISS-11664,2026-07-17,210.0,9100.74,910.07,1001.08,11011.89,4624.99,15636.88
PAY-2026-1021,CAND-1386,MISS-11829,2026-05-23,210.0,6392.9,639.29,703.22,7735.42,3248.87,10984.29
PAY-2026-1022,CAND-1382,MISS-12223,2026-01-31,35.0,2534.72,253.47,278.82,3067.01,1288.14,4355.16
PAY-2026-1023,CAND-1253,MISS-10698,2024-03-21,210.0,8620.61,862.06,948.27,10430.94,4380.99,14811.93
PAY-2026-1024,CAND-1383,MISS-11756,2024-11-01,70.0,4428.72,442.87,487.16,5358.75,2250.67,7609.42
PAY-2026-1025,CAND-1259,MISS-12200,2024-11-29,210.0,11694.06,1169.41,1286.35,14149.81,5942.92,20092.73
PAY-2026-1026,CAND-1014,MISS-12141,2024-08-01,210.0,10972.6,1097.26,1206.99,13276.84,5576.27,18853.11
PAY-2026-1027,CAND-1331,MISS-11249,2025-01-22,210.0,10994.36,1099.44,1209.38,13303.18,5587.33,18890.51
PAY-2026-1028,CAND-1383,MISS-12267,2026-06-18,70.0,3672.2,367.22,403.94,4443.36,1866.21,6309.57
PAY-2026-1029,CAND-1139,MISS-10333,2024-08-22,315.0,20353.72,2035.37,2238.91,24628.0,10343.76,34971.76
PAY-2026-1030,CAND-1417,MISS-10711,2025-10-24,630.0,37624.84,3762.48,4138.73,45526.05,19120.94,64646.99
PAY-2026-1031,CAND-1030,MISS-11069,2025-11-16,210.0,11569.45,1156.95,1272.64,13999.03,5879.59,19878.63
PAY-2026-1032,CAND-1302,MISS-10796,2026-03-03,70.0,4792.34,479.23,527.16,5798.73,2435.46,8234.19
PAY-2026-1033,CAND-1120,MISS-11253,2024-04-30,70.0,2258.31,225.83,248.41,2732.56,1147.67,3880.23
PAY-2026-1034,CAND-1432,MISS-13182,2026-06-20,210.0,15135.74,1513.57,1664.93,18314.25,7691.98,26006.23
PAY-2026-1035,CAND-1164,MISS-11539,2026-06-22,70.0,2639.86,263.99,290.39,3194.24,1341.58,4535.82
PAY-2026-1036,CAND-1272,MISS-11250,2026-07-17,70.0,4161.7,416.17,457.79,5035.66,2114.98,7150.63
PAY-2026-1037,CAND-1381,MISS-13111,2024-03-01,315.0,16186.89,1618.69,1780.56,19586.14,8226.18,27812.31
PAY-2026-1038,CAND-1173,MISS-11727,2024-11-10,70.0,3377.38,337.74,371.51,4086.62,1716.38,5803.01
PAY-2026-1039,CAND-1496,MISS-10474,2024-11-30,35.0,2277.1,227.71,250.48,2755.29,1157.22,3912.51
PAY-2026-1040,CAND-1497,MISS-10441,2024-02-22,315.0,17380.17,1738.02,1911.82,21030.01,8832.6,29862.61
PAY-2026-1041,CAND-1269,MISS-11405,2024-06-29,70.0,3964.62,396.46,436.11,4797.18,2014.82,6812.0
PAY-2026-1042,CAND-1048,MISS-11796,2026-08-03,35.0,1121.33,112.13,123.35,1356.81,569.86,1926.67
PAY-2026-1043,CAND-1042,MISS-11931,2024-11-30,17.5,954.02,95.4,104.94,1154.36,484.83,1639.2
PAY-2026-1044,CAND-1182,MISS-10361,2025-06-15,35.0,2469.55,246.96,271.65,2988.16,1255.03,4243.19
PAY-2026-1045,CAND-1234,MISS-10538,2025-12-05,210.0,8267.76,826.78,909.45,10004.0,4201.68,14205.67
PAY-2026-1046,CAND-1155,MISS-11736,2026-02-08,17.5,1262.2,126.22,138.84,1527.26,641.45,2168.7
PAY-2026-1047,CAND-1470,MISS-12957,2026-04-12,35.0,2256.6,225.66,248.23,2730.49,1146.81,3877.3
PAY-2026-1048,CAND-1252,MISS-10119,2024-07-27,70.0,3533.46,353.35,388.68,4275.49,1795.71,6071.2
PAY-2026-1049,CAND-1412,MISS-10077,2025-04-15,17.5,971.11,97.11,106.82,1175.04,493.52,1668.56
PAY-2026-1050,CAND-1012,MISS-11538,2026-07-04,35.0,2068.66,206.87,227.55,2503.08,1051.29,3554.37
PAY-2026-1051,CAND-1336,MISS-10322,2025-02-08,210.0,15292.63,1529.26,1682.19,18504.08,7771.71,26275.8
PAY-2026-1052,CAND-1268,MISS-12149,2026-04-10,35.0,1672.86,167.29,184.02,2024.17,850.15,2874.32
PAY-2026-1053,CAND-1386,MISS-11810,2026-08-01,210.0,9676.31,967.63,1064.39,11708.34,4917.5,16625.84
PAY-2026-1054,CAND-1390,MISS-12932,2024-03-28,70.0,3232.82,323.28,355.61,3911.71,1642.92,5554.63
PAY-2026-1055,CAND-1392,MISS-10562,2024-07-27,70.0,4122.56,412.26,453.48,4988.3,2095.09,7083.39
PAY-2026-1056,CAND-1055,MISS-12945,2026-05-29,17.5,973.13,97.31,107.04,1177.49,494.54,1672.03
PAY-2026-1057,CAND-1308,MISS-10748,2024-07-10,35.0,1147.77,114.78,126.25,1388.8,583.3,1972.1
PAY-2026-1058,CAND-1230,MISS-10130,2025-07-08,70.0,2341.5,234.15,257.56,2833.22,1189.95,4023.17
PAY-2026-1059,CAND-1090,MISS-12881,2025-02-05,35.0,2365.39,236.54,260.19,2862.12,1202.09,4064.21
PAY-2026-1060,CAND-1098,MISS-12547,2025-10-28,315.0,9526.04,952.6,1047.86,11526.51,4841.13,16367.64
PAY-2026-1061,CAND-1458,MISS-10885,2026-05-17,630.0,27359.24,2735.92,3009.52,33104.67,13903.96,47008.64
PAY-2026-1062,CAND-1061,MISS-11856,2025-06-09,70.0,2679.44,267.94,294.74,3242.12,1361.69,4603.81
PAY-2026-1063,CAND-1300,MISS-12842,2024-08-04,35.0,1536.2,153.62,168.98,1858.8,780.69,2639.49
PAY-2026-1064,CAND-1107,MISS-11037,2026-06-08,315.0,16225.46,1622.55,1784.8,19632.81,8245.78,27878.59
PAY-2026-1065,CAND-1226,MISS-12749,2025-05-24,70.0,4804.41,480.44,528.49,5813.34,2441.6,8254.94
PAY-2026-1066,CAND-1113,MISS-10960,2024-02-10,35.0,1909.58,190.96,210.05,2310.59,970.45,3281.04
PAY-2026-1067,CAND-1126,MISS-13063,2026-07-05,17.5,684.06,68.41,75.25,827.71,347.64,1175.35
PAY-2026-1068,CAND-1030,MISS-13426,2026-07-02,210.0,14856.85,1485.69,1634.25,17976.79,7550.25,25527.04
PAY-2026-1069,CAND-1138,MISS-11950,2025-05-25,17.5,948.34,94.83,104.32,1147.49,481.94,1629.43
PAY-2026-1070,CAND-1289,MISS-10222,2024-05-31,630.0,40049.42,4004.94,4405.44,48459.8,20353.12,68812.91
PAY-2026-1071,CAND-1329,MISS-11440,2025-03-11,35.0,1827.54,182.75,201.03,2211.33,928.76,3140.09
PAY-2026-1072,CAND-1220,MISS-11570,2024-03-13,17.5,1005.42,100.54,110.6,1216.56,510.95,1727.51
PAY-2026-1073,CAND-1070,MISS-10096,2025-07-25,17.5,681.4,68.14,74.95,824.49,346.28,1170.77
PAY-2026-1074,CAND-1083,MISS-11170,2024-02-05,35.0,2076.18,207.62,228.38,2512.18,1055.11,3567.29
PAY-2026-1075,CAND-1005,MISS-11956,2024-09-21,70.0,3022.1,302.21,332.43,3656.75,1535.83,5192.58
PAY-2026-1076,CAND-1208,MISS-11717,2026-08-21,210.0,8764.36,876.44,964.08,10604.87,4454.05,15058.91
PAY-2026-1077,CAND-1000,MISS-10145,2024-12-27,630.0,42092.41,4209.24,4630.17,50931.82,21391.36,72323.18
PAY-2026-1078,CAND-1199,MISS-10549,2024-07-28,17.5,689.74,68.97,75.87,834.59,350.53,1185.11
PAY-2026-1079,CAND-1344,MISS-11386,2024-04-26,630.0,22782.6,2278.26,2506.09,27566.94,11578.11,39145.05
PAY-2026-1080,CAND-1292,MISS-12817,2025-12-24,17.5,715.02,71.5,78.65,865.17,363.37,1228.54
PAY-2026-1081,CAND-1238,MISS-12521,2025-04-20,210.0,8527.59,852.76,938.04,10318.39,4333.72,14652.11
PAY-2026-1082,CAND-1350,MISS-10279,2025-08-17,210.0,11278.32,1127.83,1240.62,13646.77,5731.64,19378.41
PAY-2026-1083,CAND-1110,MISS-10247,2025-06-08,210.0,12165.99,1216.6,1338.26,14720.85,6182.76,20903.6
PAY-2026-1084,CAND-1196,MISS-10228,2024-04-14,70.0,2352.6,235.26,258.79,2846.65,1195.59,4042.25
PAY-2026-1085,CAND-1204,MISS-11072,2024-05-20,630.0,25641.74,2564.17,2820.59,31026.5,13031.13,44057.63
PAY-2026-1086,CAND-1398,MISS-11813,2024-07-23,17.5,1209.53,120.95,133.05,1463.53,614.68,2078.21
PAY-2026-1087,CAND-1428,MISS-12706,2024-02-03,35.0,2265.08,226.51,249.16,2740.75,1151.12,3891.87
PAY-2026-1088,CAND-1402,MISS-12166,2025-09-24,35.0,1087.67,108.77,119.64,1316.08,552.75,1868.83
PAY-2026-1089,CAND-1315,MISS-12658,2025-12-28,210.0,7096.62,709.66,780.63,8586.92,3606.5,12193.42
PAY-2026-1090,CAND-1428,MISS-10799,2026-07-19,35.0,2161.28,216.13,237.74,2615.15,1098.37,3713.52
PAY-2026-1091,CAND-1209,MISS-10038,2025-04-11,70.0,3542.0,354.2,389.62,4285.83,1800.05,6085.87
PAY-2026-1092,CAND-1440,MISS-10021,2026-01-09,210.0,12971.1,1297.11,1426.82,15695.03,6591.91,22286.94
PAY-2026-1093,CAND-1031,MISS-11805,2025-05-05,630.0,30893.3,3089.33,3398.26,37380.89,15699.98,53080.87
PAY-2026-1094,CAND-1299,MISS-10887,2026-08-14,210.0,14961.9,1496.19,1645.81,18103.89,7603.64,25707.53
PAY-2026-1095,CAND-1283,MISS-12279,2026-04-07,315.0,16354.26,1635.43,1798.97,19788.66,8311.24,28099.9
PAY-2026-1096,CAND-1390,MISS-10243,2025-04-18,210.0,14279.84,1427.98,1570.78,17278.6,7257.01,24535.61
PAY-2026-1097,CAND-1001,MISS-13077,2025-01-17,70.0,4889.04,488.9,537.79,5915.74,2484.61,8400.35
PAY-2026-1098,CAND-1280,MISS-12746,2025-04-24,35.0,1134.7,113.47,124.82,1372.99,576.65,1949.64
PAY-2026-1099,CAND-1095,MISS-10410,2024-08-12,17.5,902.83,90.28,99.31,1092.42,458.82,1551.24
PAY-2026-1100,CAND-1203,MISS-11135,2026-06-01,210.0,15183.66,1518.37,1670.2,18372.23,7716.34,26088.56
PAY-2026-1101,CAND-1036,MISS-13357,2024-07-07,315.0,21395.54,2139.55,2353.51,25888.6,10873.21,36761.81
PAY-2026-1102,CAND-1185,MISS-10544,2026-08-27,35.0,1362.21,136.22,149.84,1648.27,692.28,2340.55
PAY-2026-1103,CAND-1298,MISS-12210,2025-01-24,70.0,4797.37,479.74,527.71,5804.82,2438.02,8242.84
PAY-2026-1104,CAND-1243,MISS-13088,2025-09-30,35.0,2090.73,209.07,229.98,2529.78,1062.51,3592.29
PAY-2026-1105,CAND-1307,MISS-12126,2026-07-22,35.0,1445.49,144.55,159.0,1749.04,734.6,2483.64
PAY-2026-1106,CAND-1068,MISS-12043,2025-03-15,210.0,11733.09,1173.31,1290.64,14197.04,5962.76,20159.8
PAY-2026-1107,CAND-1468,MISS-10448,2025-02-27,210.0,11254.74,1125.47,1238.02,13618.24,5719.66,19337.89
PAY-2026-1108,CAND-1135,MISS-10657,2024-12-07,70.0,3099.98,310.0,341.0,3750.98,1575.41,5326.39
PAY-2026-1109,CAND-1060,MISS-13209,2024-05-11,70.0,3232.14,323.21,355.54,3910.9,1642.58,5553.47
PAY-2026-1110,CAND-1112,MISS-10932,2024-02-06,210.0,6435.6,643.56,707.92,7787.07,3270.57,11057.64
PAY-2026-1111,CAND-1472,MISS-10909,2026-04-26,70.0,3573.38,357.34,393.07,4323.8,1815.99,6139.79
PAY-2026-1112,CAND-1104,MISS-11818,2025-09-21,630.0,26539.99,2654.0,2919.4,32113.39,13487.62,45601.01
PAY-2026-1113,CAND-1464,MISS-12772,2024-02-18,210.0,13128.75,1312.88,1444.16,15885.79,6672.03,22557.82
PAY-2026-1114,CAND-1449,MISS-12830,2024-04-06,630.0,25237.33,2523.73,2776.11,30537.17,12825.61,43362.78
PAY-2026-1115,CAND-1370,MISS-11975,2024-02-21,70.0,3002.2,300.22,330.24,3632.67,1525.72,5158.39
PAY-2026-1116,CAND-1336,MISS-12292,2024-03-01,70.0,4328.42,432.84,476.13,5237.39,2199.7,7437.09
PAY-2026-1117,CAND-1026,MISS-10328,2024-04-16,17.5,666.52,66.65,73.32,806.48,338.72,1145.21
PAY-2026-1118,CAND-1410,MISS-10132,2024-06-15,70.0,3714.5,371.45,408.6,4494.55,1887.71,6382.26
PAY-2026-1119,CAND-1317,MISS-13115,2025-05-13,70.0,4217.73,421.77,463.95,5103.45,2143.45,7246.9
PAY-2026-1120,CAND-1269,MISS-12004,2026-01-29,35.0,1193.44,119.34,131.28,1444.06,606.5,2050.56
PAY-2026-1121,CAND-1301,MISS-12303,2026-04-20,70.0,4400.7,440.07,484.08,5324.84,2236.43,7561.27
PAY-2026-1122,CAND-1182,MISS-12743,2024-03-06,210.0,15516.14,1551.61,1706.78,18774.53,7885.3,26659.83
PAY-2026-1123,CAND-1393,MISS-10731,2025-11-18,70.0,4779.34,477.93,525.73,5783.0,2428.86,8211.85
PAY-2026-1124,CAND-1405,MISS-11834,2025-03-20,70.0,4799.97,480.0,528.0,5807.96,2439.34,8247.31
PAY-2026-1125,CAND-1420,MISS-12475,2024-09-28,17.5,709.65,70.96,78.06,858.68,360.64,1219.32
PAY-2026-1126,CAND-1356,MISS-13186,2024-08-04,35.0,1759.44,175.94,193.54,2128.92,894.14,3023.06
PAY-2026-1127,CAND-1469,MISS-12191,2026-04-22,315.0,20713.3,2071.33,2278.46,25063.1,10526.5,35589.6
PAY-2026-1128,CAND-1450,MISS-11898,2025-04-10,35.0,1434.7,143.47,157.82,1735.99,729.12,2465.11
PAY-2026-1129,CAND-1189,MISS-10054,2024-03-18,630.0,43595.16,4359.52,4795.47,52750.14,22155.06,74905.2
PAY-2026-1130,CAND-1127,MISS-11708,2025-06-19,70.0,2409.58,240.96,265.05,2915.6,1224.55,4140.15
PAY-2026-1131,CAND-1475,MISS-10031,2026-07-16,630.0,23373.66,2337.37,2571.1,28282.12,11878.49,40160.61
PAY-2026-1132,CAND-1310,MISS-13361,2025-03-01,210.0,12050.66,1205.07,1325.57,14581.3,6124.15,20705.45
PAY-2026-1133,CAND-1016,MISS-10832,2026-01-22,210.0,6747.84,674.78,742.26,8164.89,3429.25,11594.14
PAY-2026-1134,CAND-1095,MISS-12900,2025-10-16,315.0,9681.64,968.16,1064.98,11714.79,4920.21,16635.0
PAY-2026-1135,CAND-1344,MISS-11581,2024-10-09,315.0,21707.81,2170.78,2387.86,26266.45,11031.91,37298.36
PAY-2026-1136,CAND-1340,MISS-10671,2026-01-30,210.0,12617.41,1261.74,1387.92,15267.07,6412.17,21679.23
PAY-2026-1137,CAND-1005,MISS-11674,2026-01-05,630.0,23428.96,2342.9,2577.19,28349.04,11906.6,40255.64
PAY-2026-1138,CAND-1354,MISS-13201,2026-01-24,17.5,1199.68,119.97,131.96,1451.61,609.68,2061.29
PAY-2026-1139,CAND-1055,MISS-12090,2025-05-23,70.0,4591.34,459.13,505.05,5555.52,2333.32,7888.83
PAY-2026-1140,CAND-1266,MISS-11868,2026-05-30,35.0,2192.18,219.22,241.14,2652.53,1114.06,3766.6
PAY-2026-1141,CAND-1261,MISS-12005,2026-03-26,17.5,834.02,83.4,91.74,1009.17,423.85,1433.02
PAY-2026-1142,CAND-1461,MISS-11526,2025-01-04,210.0,9309.12,930.91,1024.0,11264.04,4730.89,15994.93
PAY-2026-1143,CAND-1130,MISS-10982,2024-12-31,315.0,15771.8,1577.18,1734.9,19083.88,8015.23,27099.12
PAY-2026-1144,CAND-1056,MISS-12284,2025-09-28,35.0,1872.82,187.28,206.01,2266.12,951.77,3217.89
PAY-2026-1145,CAND-1259,MISS-13057,2026-08-03,315.0,14075.68,1407.57,1548.32,17031.57,7153.26,24184.83
PAY-2026-1146,CAND-1475,MISS-11686,2026-03-15,315.0,18049.16,1804.92,1985.41,21839.48,9172.58,31012.07
PAY-2026-1147,CAND-1014,MISS-11270,2025-05-31,35.0,2173.93,217.39,239.13,2630.45,1104.79,3735.24
PAY-2026-1148,CAND-1014,MISS-11540,2026-01-20,315.0,14929.2,1492.92,1642.21,18064.34,7587.02,25651.36
PAY-2026-1149,CAND-1121,MISS-12326,2024-04-28,315.0,21337.57,2133.76,2347.13,25818.46,10843.75,36662.21
